Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.509,60.509,screen dark,11.1269273992
0,25.813,25.813,wifi running,0.35376509995999994
25.813,30.509,4.6960000000000015,wifi scan,1.0610973592000004
30.509,52.062,21.552999999999997,wifi radio,5.80388516449
52.062,60.507,8.445,wifi running,0.1157380494
60.507,60.509,0.0020000000000024443,wifi radio,0.0005385686600006582
0.0,9.166469000003417,9.166469000003417,core 0 cpu_idle start,0.13914241618555187
9.166469000003417,68.5570000000007,59.39053099999728,core 0 cpu_idle,0.9015185653144587
0.0,9.166644000011729,9.166644000011729,core 1 cpu_idle start,0.13914507259817804
9.166644000011729,68.5570000000007,59.39035599998897,core 1 cpu_idle,0.9015159089018325
0.0,9.1682800000126,9.1682800000126,core 2 cpu_idle start,0.13916990626019127
9.1682800000126,68.5570000000007,59.3887199999881,core 2 cpu_idle,0.9014910752398193
0.0,9.165005000002566,9.165005000002566,core 3 cpu_idle start,0.13912019339753895
9.165005000002566,68.5570000000007,59.39199499999813,core 3 cpu_idle,0.9015407881024716
0.0,9.169782000011764,9.169782000011764,core 4 cpu_idle start,0.1391927058691786
9.169782000011764,68.5570000000007,59.387217999988934,core 4 cpu_idle,0.9014682756308321
0.0,9.16935400001239,9.16935400001239,core 5 cpu_idle start,0.13918620904318807
9.16935400001239,68.5570000000007,59.38764599998831,core 5 cpu_idle,0.9014747724568225
0.0,9.171095000012428,9.171095000012428,core 6 cpu_idle start,0.13921263655268867
9.171095000012428,68.5570000000007,59.38590499998827,core 6 cpu_idle,0.901448344947322
0.0,9.164222000006703,9.164222000006703,core 7 cpu_idle start,0.13910830784910175
9.164222000006703,68.5570000000007,59.392777999993996,core 7 cpu_idle,0.9015526736509089
