device,subject,browser,batterystats_Joule_calculated
pixel3,https-ae-godaddy-com,chrome,54.64248
pixel3,https-duckduckgo-com,chrome,48.234312
pixel3,https-fc2-com,chrome,48.066504
pixel3,https-kakaku-com,chrome,58.5786936
pixel3,https-missouri-edu,chrome,50.331912
pixel3,https-pixabay-com,chrome,49.136280000000006
pixel3,https-steamcommunity-com,chrome,50.436119999999995
pixel3,https-store-steampowered-com,chrome,49.776047999999996
pixel3,https-telegram-org,chrome,48.496512
pixel3,https-utk-edu,chrome,48.276264
pixel3,https-www-booking-com,chrome,52.807080000000006
pixel3,https-www-colorado-edu,chrome,48.93700799999999
pixel3,https-www-homedepot-com,chrome,55.827624
pixel3,https-www-indeed-ae,chrome,49.53482399999999
pixel3,https-www-ltn-com-tw,chrome,63.975878399999985
pixel3,https-www-mdpi-com,chrome,53.216111999999995
pixel3,https-www-netflix-com,chrome,47.7947232
pixel3,https-www-nih-gov,chrome,49.104816
pixel3,https-www-office-com,chrome,50.55216
pixel3,https-www-osha-gov,chrome,48.40212
pixel3,https-www-raspberrypi-org,chrome,54.873216000000006
pixel3,https-www-researchgate-net,chrome,48.94903440000001
pixel3,https-www-sindonews-com,chrome,56.00591999999999
pixel3,https-www-thetimes-co-uk,chrome,57.195600000000006
pixel3,https-www-tistory-com,chrome,67.5220056
pixel3,https-www-ucsc-edu,chrome,50.845824
pixel3,https-www-worldbank-org,chrome,50.49851520000001
pixel3,https-www-yelp-com,chrome,49.188216
