Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,60.57,60.57,screen dark,11.222894160000001
0,38.114,38.114,wifi running,0.5263238487999999
38.114,42.871,4.757000000000005,wifi scan,1.0830594890000012
42.871,60.57,17.698999999999998,wifi running,0.24440903079999998
0.0,8.940034000006563,8.940034000006563,core 0 cpu_idle start,0.13673782003010038
8.940034000006563,68.56000000000495,59.619965999998385,core 0 cpu_idle,0.9118873799699754
0.0,8.937627000006614,8.937627000006614,core 1 cpu_idle start,0.13670100496510118
8.937627000006614,68.56000000000495,59.62237299999833,core 1 cpu_idle,0.9119241950349746
0.0,8.936607000003278,8.936607000003278,core 2 cpu_idle start,0.13668540406505014
8.936607000003278,68.56000000000495,59.62339300000167,core 2 cpu_idle,0.9119397959350256
0.0,8.936676000004809,8.936676000004809,core 3 cpu_idle start,0.13668645942007357
8.936676000004809,68.56000000000495,59.62332400000014,core 3 cpu_idle,0.9119387405800022
0.0,8.937922000004619,8.937922000004619,core 4 cpu_idle start,0.13670551699007066
8.937922000004619,68.56000000000495,59.62207800000033,core 4 cpu_idle,0.9119196830100051
0.0,8.935887000006915,8.935887000006915,core 5 cpu_idle start,0.13667439166510578
8.935887000006915,68.56000000000495,59.62411299999803,core 5 cpu_idle,0.91195080833497
0.0,8.93736400000489,8.93736400000489,core 6 cpu_idle start,0.13669698238007483
8.93736400000489,68.56000000000495,59.62263600000006,core 6 cpu_idle,0.911928217620001
0.0,8.937524000008125,8.937524000008125,core 7 cpu_idle start,0.1366994295801243
8.937524000008125,68.56000000000495,59.62247599999682,core 7 cpu_idle,0.9119257704199515
