device,subject,browser,batterystats_Joule_calculated,size
pixel3,https-duckduckgo-com,chrome,48.234312,S
pixel3,https-fc2-com,chrome,48.066504,S
pixel3,https-kakaku-com,chrome,58.5786936,L
pixel3,https-missouri-edu,chrome,50.331912,M
pixel3,https-pixabay-com,chrome,49.13628,S
pixel3,https-steamcommunity-com,chrome,50.43612,L
pixel3,https-store-steampowered-com,chrome,49.776048,M
pixel3,https-telegram-org,chrome,48.496512,S
pixel3,https-utk-edu,chrome,48.276264,S
pixel3,https-www-booking-com,chrome,52.80708,M
pixel3,https-www-colorado-edu,chrome,48.937008,S
pixel3,https-www-homedepot-com,chrome,55.827624,M
pixel3,https-www-indeed-ae,chrome,49.534824,M
pixel3,https-www-ltn-com-tw,chrome,63.9758784,L
pixel3,https-www-mdpi-com,chrome,53.216112,M
pixel3,https-www-netflix-com,chrome,47.7947232,L
pixel3,https-www-nih-gov,chrome,49.104816,S
pixel3,https-www-office-com,chrome,50.55216,S
pixel3,https-www-osha-gov,chrome,48.40212,M
pixel3,https-www-raspberrypi-org,chrome,54.873216,M
pixel3,https-www-researchgate-net,chrome,48.9490344,L
pixel3,https-www-sindonews-com,chrome,56.00592,M
pixel3,https-www-thetimes-co-uk,chrome,57.1956,L
pixel3,https-www-tistory-com,chrome,67.5220056,L
pixel3,https-www-ucsc-edu,chrome,50.845824,S
pixel3,https-www-worldbank-org,chrome,50.4985152,L
pixel3,https-www-yelp-com,chrome,49.188216,L
