device,subject,browser,batterystats_Joule_calculated,size,cluttered
pixel3,https-duckduckgo-com,chrome,48.3072408,S,0
pixel3,https-fc2-com,chrome,47.4329016,S,0
pixel3,https-kakaku-com,chrome,57.1651296,L,0
pixel3,https-missouri-edu,chrome,51.1384344,M,0
pixel3,https-pixabay-com,chrome,48.6195048,S,0
pixel3,https-steamcommunity-com,chrome,49.754064,L,0
pixel3,https-store-steampowered-com,chrome,50.9927112,M,0
pixel3,https-telegram-org,chrome,48.0990648,S,0
pixel3,https-utk-edu,chrome,47.516172,S,0
pixel3,https-www-booking-com,chrome,53.6989992,M,0
pixel3,https-www-colorado-edu,chrome,48.8380896,S,0
pixel3,https-www-homedepot-com,chrome,55.2603192,M,0
pixel3,https-www-indeed-ae,chrome,49.8165168,M,0
pixel3,https-www-ltn-com-tw,chrome,66.7516344,L,0
pixel3,https-www-mdpi-com,chrome,53.4908232,M,0
pixel3,https-www-netflix-com,chrome,48.9942216,L,0
pixel3,https-www-nih-gov,chrome,49.2232152,S,0
pixel3,https-www-office-com,chrome,51.4506984,S,0
pixel3,https-www-osha-gov,chrome,49.3168944,M,0
pixel3,https-www-raspberrypi-org,chrome,56.0617968,M,0
pixel3,https-www-researchgate-net,chrome,48.6715488,L,0
pixel3,https-www-sindonews-com,chrome,56.3428344,M,0
pixel3,https-www-thetimes-co-uk,chrome,55.4997216,L,0
pixel3,https-www-tistory-com,chrome,67.9902816,L,0
pixel3,https-www-ucsc-edu,chrome,51.419472,S,0
pixel3,https-www-worldbank-org,chrome,51.5860128,L,0
pixel3,https-www-yelp-com,chrome,50.6284032,L,0
pixel3,https-duckduckgo-com,chrome,48.234312,S,1
pixel3,https-fc2-com,chrome,48.066504,S,1
pixel3,https-kakaku-com,chrome,58.5786936,L,1
pixel3,https-missouri-edu,chrome,50.331912,M,1
pixel3,https-pixabay-com,chrome,49.13628,S,1
pixel3,https-steamcommunity-com,chrome,50.43612,L,1
pixel3,https-store-steampowered-com,chrome,49.776048,M,1
pixel3,https-telegram-org,chrome,48.496512,S,1
pixel3,https-utk-edu,chrome,48.276264,S,1
pixel3,https-www-booking-com,chrome,52.80708,M,1
pixel3,https-www-colorado-edu,chrome,48.937008,S,1
pixel3,https-www-homedepot-com,chrome,55.827624,M,1
pixel3,https-www-indeed-ae,chrome,49.534824,M,1
pixel3,https-www-ltn-com-tw,chrome,63.9758784,L,1
pixel3,https-www-mdpi-com,chrome,53.216112,M,1
pixel3,https-www-netflix-com,chrome,47.7947232,L,1
pixel3,https-www-nih-gov,chrome,49.104816,S,1
pixel3,https-www-office-com,chrome,50.55216,S,1
pixel3,https-www-osha-gov,chrome,48.40212,M,1
pixel3,https-www-raspberrypi-org,chrome,54.873216,M,1
pixel3,https-www-researchgate-net,chrome,48.9490344,L,1
pixel3,https-www-sindonews-com,chrome,56.00592,M,1
pixel3,https-www-thetimes-co-uk,chrome,57.1956,L,1
pixel3,https-www-tistory-com,chrome,67.5220056,L,1
pixel3,https-www-ucsc-edu,chrome,50.845824,S,1
pixel3,https-www-worldbank-org,chrome,50.4985152,L,1
pixel3,https-www-yelp-com,chrome,49.188216,L,1
